               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10327,            0.023718,            0.021581,             0.19111,             0.27236,             0.16101,            0.042157,            0.079397,            0.015734,           0.0094781,           0.0032479,           0.0032479,            0.070769
                   1,            0.082738,            0.017869,            0.011593,             0.64198,             0.13821,             0.07819,            0.012363,            0.083217,            0.011438,           0.0082459,            0.006516,            0.006516,            0.040704
                   2,            0.074649,              0.0172,            0.010239,            0.074461,             0.51613,            0.070613,            0.014862,            0.083345,           0.0097294,           0.0051792,           0.0097182,           0.0097182,            0.010573
                   3,            0.065683,            0.017239,           0.0099354,             0.19544,             0.54222,             0.17705,            0.038097,            0.061451,            0.010421,           0.0045033,            0.009703,            0.009703,            0.009703
                   4,            0.056988,            0.015953,           0.0084201,             0.21876,             0.57868,             0.35651,             0.12163,            0.050455,            0.009925,           0.0040961,            0.009703,            0.009703,            0.009703
                   5,            0.053983,            0.014974,           0.0090699,             0.23075,             0.69315,             0.29014,             0.10321,            0.048441,           0.0087883,           0.0042115,            0.009604,            0.009604,            0.009604
                   6,             0.05001,            0.015112,           0.0078345,              0.3675,             0.64608,             0.49809,             0.20891,            0.048978,           0.0083561,           0.0040161,            0.009505,            0.009505,            0.009505
                   7,            0.048415,            0.013722,           0.0074722,             0.59152,             0.61107,             0.59517,             0.22402,            0.044106,            0.007522,           0.0037856,            0.009406,            0.009406,            0.009406
                   8,            0.046228,            0.013119,           0.0078594,             0.65314,              0.6352,             0.63131,             0.27113,            0.039265,           0.0071646,           0.0040598,            0.009307,            0.009307,            0.009307
                   9,            0.043981,            0.013162,           0.0071025,             0.48729,             0.64716,              0.5751,             0.28335,            0.039145,           0.0071756,           0.0041852,            0.009208,            0.009208,            0.009208
                  10,            0.042944,            0.012902,           0.0075752,               0.547,             0.73412,             0.65341,             0.28814,            0.036118,           0.0069186,            0.003581,            0.009109,            0.009109,            0.009109
                  11,            0.041665,            0.012639,            0.007913,             0.53855,              0.7026,             0.63107,             0.31047,            0.037188,           0.0068259,           0.0039221,             0.00901,             0.00901,             0.00901
                  12,            0.041367,            0.012934,           0.0070208,              0.6056,             0.64883,             0.65414,             0.31821,            0.035788,           0.0065748,           0.0034548,            0.008911,            0.008911,            0.008911
                  13,            0.040652,            0.012209,           0.0065686,              0.6714,             0.59352,             0.60604,             0.33098,            0.033511,           0.0069002,           0.0036973,            0.008812,            0.008812,            0.008812
                  14,            0.038758,            0.012108,           0.0076793,             0.73615,             0.71086,             0.72769,             0.39664,            0.032287,           0.0063156,           0.0033446,            0.008713,            0.008713,            0.008713
                  15,            0.039023,            0.012248,           0.0066134,              0.6399,             0.77576,             0.69994,              0.3724,            0.031679,           0.0061629,            0.003101,            0.008614,            0.008614,            0.008614
                  16,            0.039059,             0.01247,           0.0067521,             0.62584,             0.76711,             0.66019,             0.29018,            0.037845,           0.0061453,            0.003454,            0.008515,            0.008515,            0.008515
                  17,            0.038699,            0.012033,           0.0064438,               0.771,             0.70043,             0.73443,             0.37834,             0.03183,           0.0066579,           0.0037667,            0.008416,            0.008416,            0.008416
                  18,            0.038794,            0.011141,           0.0069153,               0.737,              0.7241,             0.68678,             0.34646,             0.03396,           0.0066312,           0.0039323,            0.008317,            0.008317,            0.008317
                  19,            0.037914,            0.011361,           0.0057748,             0.78388,              0.6327,              0.6777,             0.36014,            0.032904,           0.0068257,            0.003773,            0.008218,            0.008218,            0.008218
                  20,            0.039367,            0.011101,           0.0064233,             0.70505,             0.73044,             0.68443,             0.34761,            0.034724,           0.0060665,           0.0033084,            0.008119,            0.008119,            0.008119
                  21,            0.037597,            0.012159,           0.0088546,              0.7505,             0.80192,              0.7706,             0.39886,            0.031614,           0.0062835,           0.0034335,             0.00802,             0.00802,             0.00802
                  22,            0.036196,              0.0117,           0.0064781,              0.8389,              0.7156,             0.76787,             0.38911,            0.030802,           0.0061934,           0.0032776,            0.007921,            0.007921,            0.007921
                  23,            0.036532,             0.01113,           0.0076757,              0.8412,              0.7509,             0.79524,             0.39284,            0.031687,           0.0060145,            0.003287,            0.007822,            0.007822,            0.007822
                  24,            0.036077,            0.011541,           0.0064981,             0.72165,             0.76005,             0.74918,             0.37917,            0.030736,           0.0059501,            0.003083,            0.007723,            0.007723,            0.007723
                  25,             0.03539,             0.01157,           0.0057397,             0.70388,             0.78324,             0.75678,             0.38304,            0.030278,           0.0058179,           0.0027456,            0.007624,            0.007624,            0.007624
                  26,             0.03407,            0.012173,           0.0053617,             0.74058,              0.7993,             0.77136,             0.39314,            0.029984,           0.0057968,           0.0028145,            0.007525,            0.007525,            0.007525
                  27,            0.035013,             0.01146,           0.0074215,             0.72333,             0.73761,             0.72066,             0.38317,            0.030724,           0.0060797,           0.0029713,            0.007426,            0.007426,            0.007426
                  28,            0.035608,            0.011556,           0.0051873,             0.73943,             0.76174,             0.75542,              0.3897,            0.031064,           0.0057634,           0.0028814,            0.007327,            0.007327,            0.007327
                  29,            0.035221,            0.011001,           0.0067942,             0.73129,             0.76305,              0.7636,             0.41985,            0.029573,           0.0058434,            0.002927,            0.007228,            0.007228,            0.007228
                  30,            0.034183,            0.011317,           0.0055489,             0.78201,             0.78324,             0.78252,             0.39572,            0.030242,           0.0057663,           0.0027468,            0.007129,            0.007129,            0.007129
                  31,            0.033982,            0.010814,           0.0060797,             0.73324,             0.79937,             0.77803,             0.41997,            0.028643,           0.0057599,           0.0028401,             0.00703,             0.00703,             0.00703
                  32,            0.033443,            0.011167,           0.0058616,             0.77472,             0.77787,             0.76698,             0.38816,            0.030771,           0.0057909,           0.0031376,            0.006931,            0.006931,            0.006931
                  33,             0.03353,            0.011089,           0.0061471,             0.74502,             0.78249,             0.76109,             0.38427,             0.02977,           0.0060607,           0.0030088,            0.006832,            0.006832,            0.006832
                  34,            0.032832,            0.011192,           0.0048855,             0.74298,             0.77338,             0.74511,             0.39589,            0.030014,            0.006398,           0.0033393,            0.006733,            0.006733,            0.006733
                  35,            0.033939,            0.010954,           0.0058106,             0.74173,             0.80658,             0.75887,             0.43392,            0.028163,            0.005753,           0.0029684,            0.006634,            0.006634,            0.006634
                  36,            0.032566,            0.010764,           0.0074474,             0.70175,             0.83032,             0.74988,             0.41518,            0.028321,           0.0058039,           0.0032002,            0.006535,            0.006535,            0.006535
                  37,            0.033331,            0.010984,           0.0061798,             0.76349,              0.7723,              0.7825,             0.42111,            0.029031,           0.0057893,            0.003115,            0.006436,            0.006436,            0.006436
                  38,            0.033738,            0.010946,            0.005727,             0.70894,             0.80146,             0.75383,             0.42589,            0.028196,           0.0058242,           0.0025826,            0.006337,            0.006337,            0.006337
                  39,            0.031382,            0.011457,           0.0065761,             0.74281,             0.81288,              0.7755,             0.42489,            0.028125,           0.0057219,            0.002851,            0.006238,            0.006238,            0.006238
                  40,            0.031982,            0.011166,           0.0056188,             0.76555,             0.78324,             0.78285,             0.42948,            0.029318,           0.0057714,           0.0031445,            0.006139,            0.006139,            0.006139
                  41,            0.031589,            0.010501,           0.0057572,             0.76702,             0.76174,             0.77706,             0.43563,            0.027801,           0.0056398,           0.0030804,             0.00604,             0.00604,             0.00604
                  42,            0.032026,            0.010645,           0.0051696,             0.72591,             0.80067,             0.79519,             0.45544,            0.027802,           0.0055918,           0.0030553,            0.005941,            0.005941,            0.005941
                  43,            0.031149,            0.011361,           0.0062604,             0.74902,             0.84358,             0.81541,             0.45683,            0.028179,           0.0058358,           0.0031538,            0.005842,            0.005842,            0.005842
                  44,            0.031868,            0.010773,           0.0064235,             0.80859,             0.78297,             0.81997,             0.45792,            0.027608,           0.0058537,           0.0029007,            0.005743,            0.005743,            0.005743
                  45,            0.031001,            0.010226,           0.0051816,             0.74945,              0.8186,             0.80437,             0.43774,            0.028409,           0.0058539,           0.0029656,            0.005644,            0.005644,            0.005644
                  46,              0.0308,             0.01076,           0.0062637,             0.78225,             0.78455,             0.79278,             0.44349,            0.027512,           0.0057387,           0.0031572,            0.005545,            0.005545,            0.005545
                  47,            0.030632,            0.011206,           0.0059529,             0.75907,              0.7924,             0.77287,             0.43915,            0.027225,           0.0057487,           0.0033054,            0.005446,            0.005446,            0.005446
                  48,            0.029578,            0.010005,            0.004219,             0.78219,             0.80876,             0.81309,             0.45778,            0.027003,           0.0056467,           0.0028311,            0.005347,            0.005347,            0.005347
                  49,            0.029378,             0.01038,           0.0050254,             0.76636,              0.8087,             0.80101,             0.46395,            0.026978,           0.0055438,           0.0028981,            0.005248,            0.005248,            0.005248
                  50,            0.029194,            0.010883,            0.004833,              0.7828,             0.75098,             0.77116,             0.42798,            0.028228,           0.0055994,           0.0027987,            0.005149,            0.005149,            0.005149
                  51,            0.029416,            0.010338,           0.0052509,             0.77803,             0.76567,              0.7923,             0.44199,            0.027676,           0.0057834,            0.002946,             0.00505,             0.00505,             0.00505
                  52,            0.028396,            0.010795,           0.0049327,             0.72436,              0.8572,             0.80073,             0.44277,             0.02756,           0.0055721,           0.0027189,            0.004951,            0.004951,            0.004951
                  53,            0.029563,            0.010656,           0.0044452,             0.70378,             0.83534,             0.78335,             0.44779,            0.027861,            0.005546,           0.0027204,            0.004852,            0.004852,            0.004852
                  54,            0.028696,            0.010395,           0.0048124,             0.76353,             0.77358,             0.77933,             0.42775,            0.027735,           0.0055645,            0.002837,            0.004753,            0.004753,            0.004753
                  55,            0.029226,            0.010504,           0.0051701,             0.73593,             0.80064,             0.75902,             0.43504,            0.027228,           0.0056882,           0.0028112,            0.004654,            0.004654,            0.004654
                  56,            0.029249,            0.010355,           0.0055031,             0.76093,             0.78324,             0.77301,             0.44666,            0.027147,           0.0061246,           0.0028926,            0.004555,            0.004555,            0.004555
                  57,            0.028434,            0.010067,           0.0049592,             0.80558,             0.74954,             0.79499,             0.45223,            0.027861,           0.0059415,           0.0029218,            0.004456,            0.004456,            0.004456
                  58,            0.028516,            0.010741,           0.0051861,             0.70667,             0.73354,             0.70606,             0.39755,            0.027993,           0.0071343,           0.0036298,            0.004357,            0.004357,            0.004357
                  59,             0.02909,            0.010867,           0.0058068,             0.78934,             0.79662,              0.8108,             0.45529,            0.027921,           0.0056555,            0.002866,            0.004258,            0.004258,            0.004258
                  60,            0.028181,            0.010218,           0.0052917,             0.76644,             0.82024,             0.79791,             0.45316,            0.027345,           0.0056002,           0.0028684,            0.004159,            0.004159,            0.004159
                  61,            0.028317,            0.010609,           0.0055838,             0.79225,             0.76842,             0.78787,              0.4602,            0.026422,           0.0057132,           0.0032845,             0.00406,             0.00406,             0.00406
                  62,            0.028612,            0.010116,           0.0055795,              0.8029,             0.79379,             0.80012,             0.45173,            0.027177,           0.0058557,           0.0029356,            0.003961,            0.003961,            0.003961
                  63,            0.028094,            0.010358,           0.0051817,             0.68541,             0.86672,             0.75766,             0.42988,            0.027095,           0.0056658,           0.0032099,            0.003862,            0.003862,            0.003862
                  64,            0.026788,            0.010624,           0.0051518,             0.77394,             0.77787,             0.79579,             0.46954,             0.02618,           0.0053795,           0.0029468,            0.003763,            0.003763,            0.003763
                  65,            0.028246,            0.010026,           0.0045387,             0.75631,             0.81012,             0.77237,             0.44711,            0.027689,           0.0056762,           0.0032574,            0.003664,            0.003664,            0.003664
                  66,            0.026682,            0.010703,            0.004725,             0.70881,             0.85313,             0.78816,             0.43704,            0.027361,           0.0055012,           0.0030294,            0.003565,            0.003565,            0.003565
                  67,            0.028267,           0.0096737,            0.005406,             0.78563,             0.79531,             0.80161,              0.4522,             0.02653,           0.0056819,           0.0031867,            0.003466,            0.003466,            0.003466
                  68,            0.028001,            0.010238,           0.0052108,             0.78877,             0.82694,             0.80167,             0.46774,            0.026098,           0.0055895,            0.002814,            0.003367,            0.003367,            0.003367
                  69,            0.027354,           0.0098748,           0.0056933,              0.7821,               0.831,             0.80866,             0.46124,            0.026845,           0.0054367,           0.0029698,            0.003268,            0.003268,            0.003268
                  70,            0.026131,            0.010292,           0.0047148,             0.75266,             0.81337,             0.80866,             0.46486,            0.026943,           0.0054388,           0.0032416,            0.003169,            0.003169,            0.003169
                  71,            0.026272,           0.0096323,           0.0043493,             0.79235,             0.77957,              0.7909,             0.46887,            0.026559,           0.0055938,           0.0030709,             0.00307,             0.00307,             0.00307
                  72,            0.027587,            0.010093,           0.0050615,             0.80265,             0.73353,             0.77452,             0.44765,            0.027021,           0.0057149,           0.0034335,            0.002971,            0.002971,            0.002971
                  73,             0.02661,           0.0099368,           0.0048663,             0.74718,             0.82481,             0.80317,             0.47204,            0.025994,           0.0057084,           0.0034682,            0.002872,            0.002872,            0.002872
                  74,            0.026604,            0.010772,           0.0051606,             0.72748,             0.83327,             0.78847,             0.48484,            0.025234,           0.0054907,            0.003468,            0.002773,            0.002773,            0.002773
                  75,            0.026061,           0.0098577,           0.0047006,             0.77328,             0.80989,             0.79381,             0.47076,            0.025725,           0.0054572,           0.0031701,            0.002674,            0.002674,            0.002674
                  76,            0.025445,            0.010562,           0.0046427,             0.72693,             0.82535,              0.7856,             0.46218,            0.025615,           0.0055351,           0.0032327,            0.002575,            0.002575,            0.002575
                  77,            0.026734,           0.0099241,           0.0050072,             0.73526,             0.80881,             0.78864,              0.4729,            0.026258,              0.0057,           0.0030899,            0.002476,            0.002476,            0.002476
                  78,            0.025762,           0.0099173,           0.0037025,             0.79007,             0.83163,             0.79864,             0.46722,             0.02611,           0.0056101,            0.003272,            0.002377,            0.002377,            0.002377
                  79,             0.02505,           0.0095407,            0.003071,             0.77488,              0.8155,             0.80487,              0.4744,             0.02605,           0.0054464,           0.0031312,            0.002278,            0.002278,            0.002278
                  80,            0.026186,             0.01049,           0.0057862,             0.66263,             0.86107,             0.77113,               0.473,            0.025806,           0.0056371,           0.0037648,            0.002179,            0.002179,            0.002179
                  81,            0.025819,           0.0097377,           0.0046358,             0.77592,             0.78297,             0.78901,             0.47576,             0.02661,           0.0055096,           0.0033755,             0.00208,             0.00208,             0.00208
                  82,            0.025669,            0.010433,           0.0050294,             0.80614,             0.81644,             0.81147,             0.47786,            0.026786,           0.0054089,           0.0031597,            0.001981,            0.001981,            0.001981
                  83,            0.025039,           0.0094582,           0.0047872,             0.75532,             0.79811,             0.78045,             0.47222,             0.02643,           0.0056092,           0.0035742,            0.001882,            0.001882,            0.001882
                  84,            0.024924,            0.010066,           0.0049933,             0.72348,             0.82494,             0.79136,             0.47738,            0.025937,           0.0053884,           0.0034069,            0.001783,            0.001783,            0.001783
                  85,            0.024865,            0.010203,           0.0046543,             0.71964,             0.83425,             0.78533,             0.46919,            0.026231,           0.0054575,           0.0035505,            0.001684,            0.001684,            0.001684
                  86,            0.024068,           0.0090713,           0.0043452,             0.80125,             0.74679,             0.77477,             0.45712,            0.026786,           0.0055319,           0.0036787,            0.001585,            0.001585,            0.001585
                  87,            0.024758,           0.0099765,           0.0045869,             0.78808,             0.78311,             0.80181,              0.4805,            0.025923,           0.0053212,           0.0035479,            0.001486,            0.001486,            0.001486
                  88,            0.024179,           0.0096269,            0.004337,              0.7984,             0.80199,             0.80949,             0.48673,            0.025896,           0.0053935,           0.0036068,            0.001387,            0.001387,            0.001387
                  89,            0.024051,           0.0098897,           0.0047424,             0.80511,              0.7818,             0.81209,             0.48759,            0.025386,           0.0054234,           0.0034662,            0.001288,            0.001288,            0.001288
                  90,             0.02471,           0.0099242,           0.0046891,             0.77559,             0.81419,             0.80142,             0.46638,            0.025688,           0.0054802,           0.0032835,            0.001189,            0.001189,            0.001189
                  91,            0.024584,           0.0096234,           0.0043724,              0.7905,             0.82204,              0.8196,              0.4837,            0.025397,           0.0054611,           0.0031627,             0.00109,             0.00109,             0.00109
                  92,            0.024005,           0.0095634,           0.0040992,             0.76674,              0.8235,             0.81813,             0.50643,            0.025284,           0.0054477,           0.0030643,            0.000991,            0.000991,            0.000991
                  93,            0.023755,           0.0096649,           0.0057279,             0.72223,             0.80683,             0.80484,             0.48029,            0.025664,           0.0055727,           0.0034913,            0.000892,            0.000892,            0.000892
                  94,            0.023588,            0.010336,           0.0052677,              0.7165,             0.81406,              0.7999,              0.4803,            0.025613,            0.005601,           0.0037031,            0.000793,            0.000793,            0.000793
                  95,            0.023617,           0.0097072,            0.003989,             0.74085,             0.83571,             0.80016,             0.47932,             0.02595,           0.0054101,           0.0036137,            0.000694,            0.000694,            0.000694
                  96,             0.02419,           0.0094345,           0.0043434,             0.76543,             0.84355,             0.81197,             0.48973,            0.025858,           0.0053717,           0.0036165,            0.000595,            0.000595,            0.000595
                  97,            0.023144,           0.0096303,           0.0038244,             0.76867,             0.79255,             0.79605,             0.48397,            0.025725,           0.0053455,            0.003283,            0.000496,            0.000496,            0.000496
                  98,            0.023222,            0.009849,           0.0041826,             0.77095,             0.79255,             0.80051,             0.49393,            0.025581,           0.0052844,           0.0032214,            0.000397,            0.000397,            0.000397
                  99,            0.022958,           0.0091982,           0.0037533,             0.73906,             0.83942,             0.79957,             0.50008,            0.025372,           0.0053084,           0.0033591,            0.000298,            0.000298,            0.000298
